x1,condition,binchoice,bincorrect,binrt,x2,xavg,estim,estrt,trial,block,session,subj
-10,1,-1,1,1.129,0,-5,-17.7867,0.834,27,4,3,1
-10,1,-1,1,0.86,20,5,13.75407,0.967,28,4,3,1
0,1,1,0,1.142,-10,-5,0.0594099999999997,1.434,29,4,3,1
0,0,0,NaN,1.192,0,0,-9.0566,0.867,30,4,3,1
-10,-1,-1,1,0.818,NaN,NaN,NaN,NaN,31,4,3,1
20,-1,1,1,0.776,NaN,NaN,NaN,NaN,32,4,3,1
20,-1,1,1,0.585,NaN,NaN,NaN,NaN,33,4,3,1
10,0,0,NaN,0.996,-10,0,-13.88509,0.834,34,4,3,1
20,0,0,NaN,1.185,20,20,-7.76663000000001,0.717,35,4,3,1
0,1,-1,0,0.645,-10,-5,4.93276,0.734,36,4,3,1
10,1,1,1,1.34,-20,-5,8.05700000000002,1.301,37,4,3,1
-20,-1,-1,1,0.701,NaN,NaN,NaN,NaN,38,4,3,1
0,1,1,0,0.755,0,0,9.35300000000001,0.834,39,4,3,1
0,0,0,NaN,1.381,10,5,8.82207,0.767,41,4,3,1
-10,0,0,NaN,1.035,20,5,13.57325,0.934,42,4,3,1
20,1,1,1,0.597,0,10,-8.86991,0.851,43,4,3,1
-10,1,-1,1,0.752,10,0,14.4936,0.851,44,4,3,1
0,-1,1,0,0.817,NaN,NaN,NaN,NaN,45,4,3,1
20,1,1,1,0.995,20,20,18.47589,1.001,46,4,3,1
10,0,0,NaN,1.199,-20,-5,-14.85965,1.251,47,4,3,1
-10,1,-1,1,0.929,-20,-15,-9.927544,0.967,48,4,3,1
-20,0,0,NaN,1.182,0,-10,-11.047527,0.667,49,4,3,1
10,1,1,1,1.291,-10,0,10.58463,0.851,50,4,3,1
-10,-1,-1,1,0.931,NaN,NaN,NaN,NaN,51,4,3,1
10,1,1,1,1.341,-10,0,10.2443,0.801,52,4,3,1
0,-1,-1,0,1.374,NaN,NaN,NaN,NaN,53,4,3,1
0,0,0,NaN,1.198,-10,-5,13.73341,1.051,54,4,3,1
-10,-1,1,0,1.092,NaN,NaN,NaN,NaN,55,4,3,1
-10,-1,-1,1,1.388,NaN,NaN,NaN,NaN,56,4,3,1
-10,0,0,NaN,1.468,20,5,7.7671,0.867,57,4,3,1
-20,-1,-1,1,0.801,NaN,NaN,NaN,NaN,58,4,3,1
20,0,0,NaN,1.232,20,20,10.09795,0.651,59,4,3,1
-10,0,0,NaN,0.986,20,5,11.20397,0.934,60,4,3,1
0,1,1,0,1.39,0,0,-7.17179999999999,1.601,61,4,3,1
0,-1,-1,0,0.555,NaN,NaN,NaN,NaN,62,4,3,1
20,-1,-1,0,1.608,NaN,NaN,NaN,NaN,64,4,3,1
-10,-1,-1,1,1.187,NaN,NaN,NaN,NaN,65,4,3,1
20,0,0,NaN,1.657,-10,5,-8.36248999999999,0.717,66,4,3,1
10,0,0,NaN,1.039,0,5,-7.47589,0.751,67,4,3,1
-10,1,-1,1,0.975,10,0,11.32359,1.134,68,4,3,1
10,0,0,NaN,1.197,-20,-5,-11.05334,0.767,69,4,3,1
20,1,1,1,0.791,-10,5,-14.79297,1.051,1,5,3,1
-10,-1,-1,1,0.983,NaN,NaN,NaN,NaN,2,5,3,1
-20,1,1,0,0.875,-10,-15,-17.0466,1.434,3,5,3,1
-10,1,-1,1,0.822,20,5,-13.420595,1.417,4,5,3,1
10,1,1,1,0.775,10,10,-15.902,0.817,5,5,3,1
-10,-1,-1,1,0.717,NaN,NaN,NaN,NaN,6,5,3,1
10,-1,1,1,1.068,NaN,NaN,NaN,NaN,7,5,3,1
20,-1,1,1,0.79,NaN,NaN,NaN,NaN,8,5,3,1
0,0,0,NaN,1.3,20,10,10.10109,1.384,9,5,3,1
-20,-1,-1,1,0.888,NaN,NaN,NaN,NaN,10,5,3,1
-10,-1,-1,1,1.05,NaN,NaN,NaN,NaN,11,5,3,1
20,1,-1,0,0.783,0,10,-6.57263,0.934,12,5,3,1
0,1,1,0,1.016,20,10,-13.8151,1.051,14,5,3,1
20,-1,-1,0,0.711,NaN,NaN,NaN,NaN,15,5,3,1
-20,0,0,NaN,1.284,-20,-20,-10.61309,0.884,16,5,3,1
-10,1,-1,1,0.757,-10,-10,-7.35337,1.034,17,5,3,1
20,0,0,NaN,1.01,-10,5,12.0548,1.634,18,5,3,1
-20,0,0,NaN,1.37,10,-5,-17.8135,0.951,19,5,3,1
-20,0,0,NaN,1.05,-10,-15,-5.88517,0.817,20,5,3,1
-20,0,0,NaN,1.004,-10,-15,-18.6019,1.634,22,5,3,1
10,0,0,NaN,0.939,-10,0,-10.82775,0.751,23,5,3,1
20,0,0,NaN,1.117,-10,5,-18.72953,1.717,24,5,3,1
10,1,-1,0,1.02,10,10,12.76773,0.901,27,5,3,1
-10,-1,-1,1,0.901,NaN,NaN,NaN,NaN,28,5,3,1
-20,1,-1,1,0.882,0,-10,-11.75615,0.884,29,5,3,1
0,1,-1,0,0.798,20,10,13.76144,1.301,30,5,3,1
10,-1,1,1,1.48,NaN,NaN,NaN,NaN,31,5,3,1
0,1,-1,0,0.833,0,0,-9.763857,0.834,32,5,3,1
-10,0,0,NaN,1.449,0,-5,-12.63333,0.851,33,5,3,1
-10,0,0,NaN,1.237,0,-5,-18.0392,1.201,34,5,3,1
-10,0,0,NaN,1.059,20,5,14.30583,1.751,35,5,3,1
-10,-1,-1,1,0.924,NaN,NaN,NaN,NaN,36,5,3,1
0,-1,1,0,1.181,NaN,NaN,NaN,NaN,37,5,3,1
0,0,0,NaN,1.097,10,5,-14.68222,1.584,38,5,3,1
0,0,0,NaN,1.062,20,10,-8.68520000000001,1.201,39,5,3,1
0,0,0,NaN,1.133,-10,-5,-7.15584,1.167,40,5,3,1
-20,-1,-1,1,1.086,NaN,NaN,NaN,NaN,41,5,3,1
10,-1,-1,0,0.568,NaN,NaN,NaN,NaN,42,5,3,1
10,-1,-1,0,0.888,NaN,NaN,NaN,NaN,43,5,3,1
10,-1,1,1,1.404,NaN,NaN,NaN,NaN,44,5,3,1
10,1,1,1,0.678,-20,-5,12.21785,1.034,45,5,3,1
20,-1,1,1,0.706,NaN,NaN,NaN,NaN,46,5,3,1
-20,0,0,NaN,1.201,0,-10,-11.6384,0.951,47,5,3,1
10,-1,-1,0,1.466,NaN,NaN,NaN,NaN,48,5,3,1
0,-1,1,0,0.784,NaN,NaN,NaN,NaN,49,5,3,1
20,-1,1,1,1.045,NaN,NaN,NaN,NaN,50,5,3,1
-20,0,0,NaN,1.052,-10,-15,-8.95367,0.734,51,5,3,1
-10,0,0,NaN,0.933,0,-5,9.37993,0.817,52,5,3,1
20,-1,1,1,1.002,NaN,NaN,NaN,NaN,53,5,3,1
10,1,1,1,1.102,-10,0,-9.31303,0.817,54,5,3,1
10,-1,1,1,0.591,NaN,NaN,NaN,NaN,55,5,3,1
-20,-1,1,0,0.938,NaN,NaN,NaN,NaN,58,5,3,1
0,1,1,0,1.14,10,5,11.4171,1.101,59,5,3,1
0,-1,1,0,1.168,NaN,NaN,NaN,NaN,60,5,3,1
10,-1,1,1,0.874,NaN,NaN,NaN,NaN,61,5,3,1
0,-1,-1,0,0.941,NaN,NaN,NaN,NaN,62,5,3,1
0,1,1,0,1.177,-10,-5,16.00192,0.851,63,5,3,1
-20,1,-1,1,1.185,-20,-20,-9.72659999999999,1.117,65,5,3,1
0,0,0,NaN,0.995,20,10,15.14799,0.951,66,5,3,1
-20,-1,-1,1,0.653,NaN,NaN,NaN,NaN,67,5,3,1
-10,0,0,NaN,1.096,10,0,15.03697,1.067,68,5,3,1
-10,1,1,0,1.33,0,-5,-10.5318,1.717,2,1,4,1
-20,0,0,NaN,1.083,0,-10,-9.68227,1.367,3,1,4,1
-10,0,0,NaN,1.122,20,5,-18.71825,1.417,4,1,4,1
-10,1,-1,1,1.176,-10,-10,-8.16852,1.684,5,1,4,1
20,1,-1,0,1.994,10,15,-13.20246,1.201,6,1,4,1
0,0,0,NaN,1.137,20,10,22.4868,1.417,7,1,4,1
10,-1,-1,0,0.855,NaN,NaN,NaN,NaN,8,1,4,1
0,-1,1,0,1.453,NaN,NaN,NaN,NaN,9,1,4,1
-20,0,0,NaN,1.049,0,-10,-14.556,1.251,10,1,4,1
-20,1,-1,1,0.946,10,-5,-16.86009,1.501,11,1,4,1
20,1,1,1,0.948,-10,5,12.90842,1.167,12,1,4,1
10,-1,-1,0,1.307,NaN,NaN,NaN,NaN,13,1,4,1
-20,1,-1,1,1.074,0,-10,-12.8481,1.184,14,1,4,1
0,-1,-1,0,1.735,NaN,NaN,NaN,NaN,15,1,4,1
-20,-1,1,0,1.796,NaN,NaN,NaN,NaN,16,1,4,1
-20,1,-1,1,1.123,-20,-20,-7.63511,1.167,17,1,4,1
10,0,0,NaN,1.024,10,10,-7.87877,1.734,18,1,4,1
-10,-1,-1,1,0.861,NaN,NaN,NaN,NaN,20,1,4,1
0,0,0,NaN,1.205,-20,-10,-8.88130000000001,1.101,21,1,4,1
0,1,-1,0,0.939,10,5,11,2.351,22,1,4,1
-10,0,0,NaN,1.135,10,0,12.30485,1.384,23,1,4,1
-10,0,0,NaN,1.165,10,0,11.59875,1.134,24,1,4,1
-20,1,-1,1,1.187,10,-5,11.4595,1.451,25,1,4,1
20,-1,1,1,0.702,NaN,NaN,NaN,NaN,26,1,4,1
20,-1,1,1,1.256,NaN,NaN,NaN,NaN,28,1,4,1
0,-1,1,0,1.201,NaN,NaN,NaN,NaN,29,1,4,1
-10,1,-1,1,1.105,20,5,10.62306,1.167,30,1,4,1
0,0,0,NaN,1.891,0,0,7.69074,1.417,32,1,4,1
0,-1,1,0,1.53,NaN,NaN,NaN,NaN,34,1,4,1
0,-1,1,0,1.421,NaN,NaN,NaN,NaN,35,1,4,1
0,1,-1,0,1.427,-10,-5,10.33006,1.667,36,1,4,1
-20,1,-1,1,1.22,10,-5,-10.0146,1.484,37,1,4,1
0,1,-1,0,1.66,-20,-10,-7.82089000000001,2.267,38,1,4,1
20,1,1,1,1.007,0,10,14.15567,1.451,39,1,4,1
10,0,0,NaN,1.219,20,15,14.0611,2.084,40,1,4,1
10,1,1,1,1.168,-10,0,10.36246,1.167,41,1,4,1
0,-1,-1,0,1.496,NaN,NaN,NaN,NaN,42,1,4,1
10,-1,-1,0,1.665,NaN,NaN,NaN,NaN,43,1,4,1
20,1,1,1,1.588,10,15,17.69267,1.417,44,1,4,1
-10,-1,-1,1,1.328,NaN,NaN,NaN,NaN,45,1,4,1
-20,0,0,NaN,1.126,-20,-20,-12.8913,1.501,46,1,4,1
0,0,0,NaN,1.103,10,5,8.1301,1.517,47,1,4,1
-20,0,0,NaN,1.993,10,-5,9.9135,1.284,48,1,4,1
10,-1,1,1,1.692,NaN,NaN,NaN,NaN,49,1,4,1
-10,-1,-1,1,1.334,NaN,NaN,NaN,NaN,50,1,4,1
10,0,0,NaN,1.099,-20,-5,-8.32549,1.117,51,1,4,1
-20,1,-1,1,1.106,0,-10,-15.6901,1.501,53,1,4,1
20,-1,1,1,1.418,NaN,NaN,NaN,NaN,54,1,4,1
10,0,0,NaN,1.044,-10,0,-0.0187600000000003,0.767,55,1,4,1
0,1,-1,0,1.177,0,0,-13.6864,1.201,56,1,4,1
-10,-1,-1,1,1.162,NaN,NaN,NaN,NaN,57,1,4,1
-20,-1,-1,1,1.253,NaN,NaN,NaN,NaN,58,1,4,1
0,-1,1,0,1.064,NaN,NaN,NaN,NaN,59,1,4,1
10,0,0,NaN,1.227,-20,-5,4.79300000000001,1.484,60,1,4,1
10,-1,1,1,1.039,NaN,NaN,NaN,NaN,61,1,4,1
20,1,-1,0,1.336,0,10,-11.48377,2.95,62,1,4,1
-10,1,-1,1,1.245,-20,-15,-10.490729,1.617,63,1,4,1
10,-1,1,1,1.319,NaN,NaN,NaN,NaN,64,1,4,1
0,0,0,NaN,1.376,-20,-10,-10.3503,2.251,65,1,4,1
0,-1,-1,0,1.055,NaN,NaN,NaN,NaN,66,1,4,1
10,-1,1,1,1.742,NaN,NaN,NaN,NaN,67,1,4,1
-20,-1,-1,1,1.409,NaN,NaN,NaN,NaN,68,1,4,1
20,1,1,1,1.077,10,15,10.16632,1.101,69,1,4,1
