x1,condition,binchoice,bincorrect,x2,xavg,estim,subj
44.625,1,-1,1,46.125,45.375,34,2
55.25,0,NaN,0,48.125,51.6875,58,2
45.875,0,NaN,0,38.875,42.375,44,2
47.75,-1,1,0,54,50.875,NaN,2
48,-1,-1,1,51.5,49.75,NaN,2
48.75,0,NaN,0,54.125,51.4375,53,2
54,-1,1,1,40.25,47.125,NaN,2
51.875,0,NaN,0,41.375,46.625,46,2
44.375,-1,-1,1,61.125,52.75,NaN,2
46,1,-1,1,60.625,53.3125,58,2
54.25,1,1,1,53.75,54,62,2
53.125,0,NaN,0,60.875,57,55,2
52.875,0,NaN,0,47.375,50.125,59,2
54.625,1,1,1,50.875,52.75,46,2
52.125,-1,1,1,60.375,56.25,NaN,2
51.25,0,NaN,0,62.875,57.0625,60,2
48.5,-1,-1,1,42.75,45.625,NaN,2
50.75,1,1,1,48.25,49.5,53,2
45.875,0,NaN,0,50.5,48.1875,44,2
47.625,-1,-1,1,40.5,44.0625,NaN,2
47.25,1,-1,1,59.125,53.1875,54,2
48.5,-1,1,0,47.5,48,NaN,2
45.25,1,-1,1,46.875,46.0625,46,2
50.5,0,NaN,0,48.75,49.625,45,2
47.125,0,NaN,0,61.375,54.25,64,2
55.125,-1,1,1,44.75,49.9375,NaN,2
45.5,0,NaN,0,53.25,49.375,57,2
45.5,1,-1,1,57.125,51.3125,56,2
51.25,1,-1,0,58.125,54.6875,48,2
54.625,-1,1,1,39.125,46.875,NaN,2
50.625,-1,1,1,59.375,55,NaN,2
44.5,-1,1,0,59.25,51.875,NaN,2
46.125,-1,1,0,60.625,53.375,NaN,2
54.125,0,NaN,0,50.5,52.3125,55,2
45.875,0,NaN,0,61.125,53.5,63,2
44.5,-1,1,0,37.75,41.125,NaN,2
51.25,-1,-1,0,58.25,54.75,NaN,2
44.75,0,NaN,0,58.125,51.4375,52,2
51.25,-1,1,1,54.125,52.6875,NaN,2
45.75,1,1,0,50.375,48.0625,60,2
50.25,-1,1,1,59.75,55,NaN,2
54,1,1,1,39.5,46.75,39,2
53,-1,-1,0,53,53,NaN,2
54.125,1,1,1,51.25,52.6875,51,2
46.125,1,-1,1,59.75,52.9375,50,2
52.125,1,1,1,55.25,53.6875,46,2
47.625,0,NaN,0,57.75,52.6875,56,2
50.375,0,NaN,0,46,48.1875,36,2
55.875,-1,1,1,37.5,46.6875,NaN,2
53.75,-1,1,1,45.375,49.5625,NaN,2
48.125,1,1,0,57.125,52.625,58,2
55.25,-1,1,1,62.875,59.0625,NaN,2
51.75,-1,-1,0,38.625,45.1875,NaN,2
55,1,1,1,41.25,48.125,39,2
48.375,1,1,0,45,46.6875,55,2
52.75,-1,1,1,57.375,55.0625,NaN,2
47.375,-1,1,0,40.375,43.875,NaN,2
52.125,-1,1,1,53,52.5625,NaN,2
45.5,0,NaN,0,53.375,49.4375,54,2
54,0,NaN,0,45,49.5,36,2
44.5,-1,-1,1,58.5,51.5,NaN,2
52.125,-1,1,1,57.5,54.8125,NaN,2
54.5,0,NaN,0,46.75,50.625,42,2
54.625,-1,1,1,47.375,51,NaN,2
48.625,-1,-1,1,44.75,46.6875,NaN,2
48.25,-1,1,0,45.5,46.875,NaN,2
47.25,0,NaN,0,45.375,46.3125,46,2
53.125,0,NaN,0,40.75,46.9375,40,2
44.375,1,1,0,50.125,47.25,62,2
48.25,1,1,0,44.625,46.4375,48,2
47.25,-1,1,0,48.75,48,NaN,2
47,-1,1,0,54.625,50.8125,NaN,2
48.5,-1,1,0,58.125,53.3125,NaN,2
55.125,0,NaN,0,38.25,46.6875,60,2
45.625,-1,-1,1,53.5,49.5625,NaN,2
50.625,-1,-1,0,48.5,49.5625,NaN,2
54.25,-1,1,1,44.5,49.375,NaN,2
48.5,0,NaN,0,57.375,52.9375,59,2
50.25,0,NaN,0,58,54.125,64,2
54.25,-1,1,1,45,49.625,NaN,2
46.875,-1,1,0,51.75,49.3125,NaN,2
48.25,-1,1,0,37.75,43,NaN,2
54.625,-1,1,1,42.375,48.5,NaN,2
48.5,-1,-1,1,44.5,46.5,NaN,2
50.625,0,NaN,0,61.875,56.25,68,2
47,-1,1,0,62,54.5,NaN,2
48.625,-1,1,0,62.375,55.5,NaN,2
52.25,-1,-1,0,42.75,47.5,NaN,2
45,0,NaN,0,42.875,43.9375,43,2
46.125,0,NaN,0,44.125,45.125,43,2
47.25,1,-1,1,59.875,53.5625,53,2
47.25,1,-1,1,46.375,46.8125,38,2
54.125,-1,1,1,62.75,58.4375,NaN,2
52.625,-1,1,1,60,56.3125,NaN,2
50.875,-1,1,1,45.375,48.125,NaN,2
45.5,-1,1,0,51.875,48.6875,NaN,2
46.625,1,-1,1,45.25,45.9375,46,2
50.375,0,NaN,0,47.25,48.8125,41,2
47.875,1,1,0,47.625,47.75,39,2
46.625,1,1,0,44.125,45.375,40,2
47.625,-1,1,0,57.625,52.625,NaN,2
45,-1,1,0,47.375,46.1875,NaN,2
44.875,-1,-1,1,40.125,42.5,NaN,2
47.5,0,NaN,0,38.5,43,42,2
44.625,0,NaN,0,57.25,50.9375,63,2
53.875,1,1,1,50.625,52.25,57,2
52.25,-1,1,1,52.125,52.1875,NaN,2
55.125,0,NaN,0,45.25,50.1875,49,2
53.625,0,NaN,0,46.625,50.125,57,2
51.875,-1,1,1,39.125,45.5,NaN,2
53.25,-1,1,1,53.125,53.1875,NaN,2
54.5,0,NaN,0,57.875,56.1875,63,2
44.125,-1,-1,1,59.375,51.75,NaN,2
47.375,-1,1,0,38.75,43.0625,NaN,2
46.625,0,NaN,0,58.5,52.5625,56,2
44.75,-1,-1,1,52.25,48.5,NaN,2
47,0,NaN,0,46.125,46.5625,41,2
54,1,1,1,60.75,57.375,64,2
53.5,0,NaN,0,48,50.75,58,2
45.625,-1,-1,1,55.5,50.5625,NaN,2
55.125,-1,1,1,61.75,58.4375,NaN,2
47.375,0,NaN,0,37.5,42.4375,61,2
45.5,1,-1,1,58.25,51.875,58,2
45.5,0,NaN,0,53.25,49.375,65,2
53.875,1,-1,0,59.625,56.75,54,2
51.75,1,1,1,48.25,50,57,2
48.25,1,1,0,60.5,54.375,65,2
45.125,-1,1,0,53.5,49.3125,NaN,2
48.625,-1,1,0,60.5,54.5625,NaN,2
53.875,-1,1,1,59.125,56.5,NaN,2
52.875,0,NaN,0,41,46.9375,34,2
46.25,0,NaN,0,54.875,50.5625,51,2
50.375,1,1,1,48,49.1875,52,2
54.625,-1,1,1,41.875,48.25,NaN,2
44.875,1,1,0,54,49.4375,61,2
51.125,0,NaN,0,46.5,48.8125,55,2
52.75,-1,1,1,37.625,45.1875,NaN,2
45.75,-1,-1,1,51.625,48.6875,NaN,2
51.75,-1,1,1,44.5,48.125,NaN,2
46,0,NaN,0,62,54,57,2
53,-1,1,1,42.125,47.5625,NaN,2
46.875,0,NaN,0,60,53.4375,59,2
46,-1,-1,1,52.625,49.3125,NaN,2
54.5,0,NaN,0,42.375,48.4375,30,2
52.875,0,NaN,0,55.25,54.0625,54,2
53.875,0,NaN,0,41.125,47.5,43,2
53.5,-1,1,1,54.625,54.0625,NaN,2
52.125,1,1,1,54,53.0625,47,2
51.5,0,NaN,0,61.25,56.375,61,2
45.875,-1,1,0,45.375,45.625,NaN,2
54.375,1,1,1,52,53.1875,56,2
46.625,0,NaN,0,54.75,50.6875,48,2
54.25,-1,1,1,45.25,49.75,NaN,2
48.125,1,1,0,57.25,52.6875,62,2
51,-1,-1,0,53.5,52.25,NaN,2
45.125,0,NaN,0,39,42.0625,35,2
47.75,0,NaN,0,44.25,46,43,2
55,1,-1,0,61.125,58.0625,67,2
51.875,0,NaN,0,57.125,54.5,64,2
47.375,1,1,0,61.875,54.625,56,2
46.625,1,-1,1,61.625,54.125,52,2
53,-1,1,1,52.75,52.875,NaN,2
